time	predators	prey
0	20	40
10	23	13
20	23	4
30	23	3
40	23	3
50	23	3
60	23	3
70	23	3
80	23	3
90	23	3
100	23	3
110	23	3
120	23	3
130	23	3
140	23	3
150	23	3
160	23	3
170	23	3
180	23	3
190	23	3
200	23	3
210	23	3
220	23	3
230	23	3
240	23	3
250	23	3
260	23	3
270	23	3
280	23	3
290	23	3
300	23	3
310	23	3
320	23	3
330	23	3
340	23	3
350	23	3
360	23	3
370	23	3
380	23	3
390	23	3
400	23	3
410	23	3
420	23	3
430	23	3
440	23	3
450	23	3
460	23	3
470	23	3
480	23	3
490	23	3
500	23	3
510	6	3
520	2	1
530	1	1
540	1	1
550	1	1
560	1	1
570	1	1
580	1	1
590	1	1
600	1	1
610	1	1
620	1	1
630	1	1
640	1	1
650	1	1
660	1	1
670	1	1
680	1	1
690	1	1
700	1	1
710	1	1
720	1	1
730	1	1
740	1	1
750	1	1
760	1	1
770	1	1
780	1	1
790	1	1
800	1	1
810	1	1
820	1	1
830	1	1
840	1	1
850	1	1
860	1	1
870	1	1
880	1	1
890	1	1
900	1	1
910	1	1
920	1	1
930	1	1
940	1	1
950	1	1
960	1	1
970	1	1
980	1	1
990	1	1
1000	1	1
1010	1	1
1020	0	1
1030	0	1
1040	0	1
1050	0	1
1060	0	1
1070	0	1
1080	0	1
1090	0	1
1100	0	1
1110	0	1
1120	0	1
1130	0	1
1140	0	1
1150	0	1
1160	0	1
1170	0	1
1180	0	1
1190	0	1
1200	0	1
1210	0	1
1220	0	1
1230	0	1
1240	0	1
1250	0	1
1260	0	1
1270	0	1
1280	0	1
1290	0	1
1300	0	1
1310	0	1
1320	0	1
1330	0	1
1340	0	1
1350	0	1
1360	0	1
1370	0	1
1380	0	1
1390	0	1
1400	0	1
1410	0	1
1420	0	1
1430	0	1
1440	0	1
1450	0	1
1460	0	1
1470	0	1
1480	0	1
1490	0	1
1500	0	1
1510	0	1
1520	0	1
1530	0	1
1540	0	1
1550	0	1
1560	0	1
1570	0	1
1580	0	1
1590	0	1
1600	0	1
1610	0	1
1620	0	1
1630	0	1
1640	0	1
1650	0	1
1660	0	1
1670	0	1
1680	0	1
1690	0	1
1700	0	1
1710	0	1
1720	0	1
1730	0	1
1740	0	1
1750	0	1
1760	0	1
1770	0	1
1780	0	1
1790	0	1
1800	0	1
1810	0	1
1820	0	1
1830	0	1
1840	0	1
1850	0	1
1860	0	1
1870	0	1
1880	0	1
1890	0	1
