time	predators	prey
0	100	200
10	100	114
20	100	114
30	100	114
40	100	114
50	100	114
60	100	114
70	100	114
80	100	114
90	100	114
100	100	114
110	100	114
120	100	114
130	100	114
140	100	114
150	100	114
160	100	114
170	100	114
180	100	114
190	100	114
200	100	114
210	100	114
220	100	114
230	100	114
240	100	114
250	100	114
260	100	114
270	100	114
280	100	114
290	100	114
300	100	114
310	100	114
320	100	114
330	100	114
340	100	114
350	100	114
360	100	114
370	100	114
380	100	114
390	100	114
400	100	114
410	100	114
420	100	114
430	100	114
440	100	114
450	100	114
460	100	114
470	100	114
480	100	114
490	100	114
500	100	114
510	8	97
520	8	84
530	8	73
540	8	62
550	8	54
560	8	50
570	8	49
580	8	49
590	8	49
600	8	49
610	8	49
620	8	49
630	8	49
640	8	49
650	8	49
660	8	49
670	8	49
680	8	49
690	8	49
700	8	49
710	8	49
720	8	49
730	8	49
740	8	49
750	8	49
760	8	49
770	8	49
780	8	49
790	8	49
800	8	49
810	8	49
820	8	49
830	8	49
840	8	49
850	8	49
860	8	49
870	8	49
880	8	49
890	8	49
900	8	49
910	8	49
920	8	49
930	8	49
940	8	49
950	8	49
960	8	49
970	8	49
980	8	49
990	8	49
1000	8	49
1010	6	48
1020	5	45
1030	5	45
1040	3	45
1050	3	43
1060	2	42
1070	1	36
1080	1	34
1090	1	31
1100	1	30
1110	1	27
1120	1	23
1130	1	23
1140	1	23
1150	1	23
1160	1	23
1170	1	23
1180	1	23
1190	1	23
1200	1	23
1210	1	23
1220	1	23
1230	1	23
1240	1	23
1250	1	23
1260	1	23
1270	1	23
1280	1	23
1290	1	23
1300	1	23
1310	1	23
1320	1	23
1330	1	23
1340	1	23
1350	1	23
1360	1	23
1370	1	23
1380	1	23
1390	1	23
1400	1	23
1410	1	23
1420	1	23
1430	1	23
1440	1	23
1450	1	23
1460	1	23
1470	1	23
1480	1	23
1490	1	23
1500	1	23
1510	1	23
1520	1	23
1530	1	23
1540	1	23
1550	1	23
1560	1	23
1570	1	23
1580	1	23
1590	1	23
1600	1	23
1610	1	23
1620	0	23
1630	0	23
1640	0	24
1650	0	24
1660	0	24
1670	0	24
1680	0	24
1690	0	24
1700	0	24
1710	0	24
1720	0	24
1730	0	24
1740	0	24
1750	0	24
1760	0	24
1770	0	24
1780	0	24
1790	0	24
1800	0	24
1810	0	24
1820	0	24
1830	0	24
1840	0	24
1850	0	24
1860	0	24
1870	0	24
1880	0	24
1890	0	24
1900	0	24
1910	0	24
1920	0	24
1930	0	24
1940	0	24
1950	0	24
1960	0	24
1970	0	24
1980	0	24
1990	0	24
2000	0	24
2010	0	24
2020	0	24
2030	0	24
2040	0	24
2050	0	24
2060	0	24
2070	0	24
2080	0	24
2090	0	24
2100	0	24
2110	0	24
2120	0	24
2130	0	24
2140	0	24
2150	0	24
2160	0	24
2170	0	24
2180	0	24
2190	0	24
2200	0	24
2210	0	24
2220	0	24
2230	0	24
2240	0	24
2250	0	24
2260	0	24
2270	0	24
2280	0	24
2290	0	24
2300	0	24
2310	0	24
2320	0	24
2330	0	24
2340	0	24
2350	0	24
2360	0	24
2370	0	24
2380	0	24
2390	0	24
2400	0	24
2410	0	24
2420	0	24
2430	0	24
2440	0	24
2450	0	24
2460	0	24
2470	0	24
2480	0	24
2490	0	24
2500	0	24
2510	0	24
2520	0	24
2530	0	24
2540	0	24
2550	0	24
2560	0	24
2570	0	24
2580	0	24
2590	0	24
2600	0	24
2610	0	24
2620	0	24
2630	0	24
2640	0	24
2650	0	24
2660	0	24
2670	0	24
2680	0	24
2690	0	24
2700	0	24
2710	0	24
2720	0	24
2730	0	24
2740	0	24
2750	0	24
2760	0	24
2770	0	24
2780	0	24
2790	0	24
2800	0	24
2810	0	24
2820	0	24
2830	0	24
2840	0	24
2850	0	24
2860	0	24
2870	0	24
2880	0	24
2890	0	24
2900	0	24
2910	0	24
2920	0	24
2930	0	24
2940	0	24
2950	0	24
2960	0	24
2970	0	24
2980	0	24
2990	0	24
3000	0	24
3010	0	24
3020	0	24
3030	0	24
3040	0	24
3050	0	24
3060	0	24
3070	0	24
3080	0	24
3090	0	24
3100	0	24
3110	0	24
3120	0	24
3130	0	24
3140	0	24
3150	0	24
3160	0	24
3170	0	24
3180	0	24
3190	0	24
3200	0	24
3210	0	24
3220	0	24
3230	0	24
3240	0	24
3250	0	24
3260	0	24
3270	0	24
3280	0	24
3290	0	24
3300	0	24
3310	0	24
3320	0	24
3330	0	24
3340	0	24
3350	0	24
3360	0	24
3370	0	24
3380	0	24
3390	0	24
3400	0	24
3410	0	24
3420	0	24
3430	0	24
3440	0	24
3450	0	24
3460	0	24
3470	0	24
3480	0	24
3490	0	24
3500	0	24
3510	0	24
3520	0	24
3530	0	24
3540	0	24
3550	0	24
3560	0	24
3570	0	24
3580	0	24
3590	0	24
3600	0	24
3610	0	24
3620	0	24
3630	0	24
3640	0	24
3650	0	24
3660	0	24
3670	0	24
3680	0	24
3690	0	24
3700	0	24
3710	0	24
3720	0	24
3730	0	24
3740	0	24
3750	0	24
3760	0	24
3770	0	24
3780	0	24
3790	0	24
3800	0	24
3810	0	24
3820	0	24
3830	0	24
3840	0	24
3850	0	24
3860	0	24
3870	0	24
3880	0	24
3890	0	24
3900	0	24
3910	0	24
3920	0	24
3930	0	24
3940	0	24
3950	0	24
3960	0	24
3970	0	24
